gene_id,symbol
18030,Nfil3
18032,Nfix
18033,Nfkb1
18034,Nfkb2
18035,Nfkbia
18036,Nfkbib
18038,Nfkbil1
72749,Nfkbil2
80859,Nfkbiz
235134,Nfrkb
74164,Nfx1
100978,Nfxl1
18044,Nfya
18045,Nfyb
18046,Nfyc
18071,Nhlh1
18072,Nhlh2
72293,Nkd2
77286,Nkrf
21869,Nkx2-1
18088,Nkx2-2
18089,Nkx2-3
18091,Nkx2-5
18094,Nkx2-9
18095,Nkx3-1
12020,Nkx3-2
18096,Nkx6-1
14912,Nkx6-2
18103,Nme2
64685,Nmi
53610,Nono
18129,Notch2
18131,Notch3
18132,Notch4
18142,Npas1
18143,Npas2
27386,Npas3
328440,Npm2
11614,Nr0b1
23957,Nr0b2
217166,Nr1d1
353187,Nr1d2
22260,Nr1h2
22259,Nr1h3
20186,Nr1h4
18171,Nr1i2
12355,Nr1i3
22025,Nr2c1
22026,Nr2c2
21907,Nr2e1
23958,Nr2e3
13865,Nr2f1
11819,Nr2f2
13864,Nr2f6
14815,Nr3c1
110784,Nr3c2
15370,Nr4a1
18227,Nr4a2
18124,Nr4a3
26423,Nr5a1
26424,Nr5a2
641340,Nrbf2
18181,Nrf1
268903,Nrip1
18185,Nrl
50887,Nsbp1
18193,Nsd1
56312,Nupr1
50914,Olig1
50913,Olig2
94222,Olig3
15379,Onecut1
225631,Onecut2
18393,Orc2l
544922,OTTMUSG00000000421
622480,OTTMUSG00000009522
665001,OTTMUSG00000016543
620790,OTTMUSG00000016626
18423,Otx1
18424,Otx2
18426,Ovol1
107586,Ovol2
18813,Pa2g4
18789,Papola
56522,Papolb
216578,Papolg
74108,Parn
11545,Parp1
56218,Patz1
114774,Pawr
18503,Pax1
18504,Pax2
18505,Pax3
18506,Pax4
18507,Pax5
18508,Pax6
18509,Pax7
18510,Pax8
18511,Pax9
66923,Pbrm1
18514,Pbx1
18515,Pbx2
18516,Pbx3
80720,Pbx4
229534,Pbxip1
13180,Pcbd1
72562,Pcbd2
22658,Pcgf2
71041,Pcgf6
18572,Pdcd11
54132,Pdlim1
30794,Pdlim4
18609,Pdx1
18616,Peg3
18626,Per1
18627,Per2
18628,Per3
18667,Pgr
12034,Phb2
21652,Phf1
72057,Phf10
268448,Phf12
230936,Phf13
75725,Phf14
76901,Phf15
382207,Phf16
269424,Phf17
74016,Phf19
18676,Phf2
228829,Phf20
271305,Phf21b
78246,Phf23
213109,Phf3
68479,Phf5a
70998,Phf6
71838,Phf7
320595,Phf8
11859,Phox2a
18935,Phox2b
18685,Phtf1
56469,Pias1
17344,Pias2
229615,Pias3
59004,Pias4
69656,Pir
18740,Pitx1
18741,Pitx2
18742,Pitx3
18771,Pknox1
208076,Pknox2
56711,Plag1
54711,Plagl2
53317,Plrg1
18854,Pml
227099,Pms1
18949,Pnn
71592,Pogk
64424,Polr1e
20020,Polr2a
231329,Polr2b
20021,Polr2c
69241,Polr2d
66420,Polr2e
69833,Polr2f
67710,Polr2g
245841,Polr2h
69920,Polr2i
20022,Polr2j
17749,Polr2k
218832,Polr3a
70428,Polr3b
74414,Polr3c
67065,Polr3d
26939,Polr3e
70408,Polr3f
78929,Polr3h
67005,Polr3k
18736,Pou1f1
18985,Pou2af1
18986,Pou2f1
18987,Pou2f2
18988,Pou2f3
18991,Pou3f1
18992,Pou3f2
18993,Pou3f3
18994,Pou3f4
18996,Pou4f1
18997,Pou4f2
18998,Pou4f3
18999,Pou5f1
75507,Pou5f2
19009,Pou6f1
218030,Pou6f2
19013,Ppara
19015,Ppard
19016,Pparg
19017,Ppargc1a
170826,Ppargc1b
54633,Pqbp1
12142,Prdm1
382066,Prdm10
381359,Prdm12
230025,Prdm13
383491,Prdm14
70673,Prdm16
110593,Prdm2
72843,Prdm4
70779,Prdm5
225518,Prdm6
77630,Prdm8
213389,Prdm9
50907,Preb
54630,Prickle3
19127,Prop1
19130,Prox1
19134,Prpf4b
18933,Prrx1
20204,Prrx2
101739,Psip1
19213,Ptf1a
19285,Ptrf
30939,Pttg1
19290,Pura
103136,Pwp1
72135,Pygo1
68911,Pygo2
19361,Rad51
19363,Rad51l1
19377,Rai1
75646,Rai14
19401,Rara
218772,Rarb
19411,Rarg
19434,Rax
19645,Rb1
57782,Rbak
19646,Rbbp4
245688,Rbbp7
24105,Rbck1
19650,Rbl1
19651,Rbl2
56275,Rbm14
229700,Rbm15
170791,Rbm39
67010,Rbm7
93686,Rbm9
19655,Rbmx
76572,Rbmxl2
19664,Rbpj
19668,Rbpjl
104383,Rcor2
27632,Rdbp
19696,Rel
19697,Rela
19698,Relb
68703,Rere
19712,Rest
227656,Rexo4
19687,Rfc1
19724,Rfx1
19725,Rfx2
19726,Rfx3
71137,Rfx4
53970,Rfx5
19727,Rfxank
170767,Rfxap
320995,Rfxdc1
319758,Rfxdc2
51791,Rgs14
19763,Ring1
109263,Rlf
19820,Rnf12
56736,Rnf14
67150,Rnf141
30945,Rnf19a
19821,Rnf2
19822,Rnf4
74132,Rnf6
19826,Rnps1
19883,Rora
225998,Rorb
19885,Rorc
20016,Rpo1-1
20017,Rpo1-2
20018,Rpo1-3
20019,Rpo1-4
68750,Rreb1
233532,Rsf1
12395,Runx1t1
12393,Runx2
12399,Runx3
56505,Ruvbl1
20174,Ruvbl2
20181,Rxra
20182,Rxrb
20183,Rxrg
56353,Rybp
224903,Safb
224902,Safb2
58198,Sall1
50524,Sall2
20689,Sall3
99377,Sall4
20220,Sap18
60406,Sap30
57230,Sap30bp
20230,Satb1
212712,Satb2
233208,Scaf1
19018,Scand1
29871,Scmh1
107815,Scml2
545474,Scrt2
67815,Sec14l2
55942,Sertad1
58172,Sertad2
170742,Sertad3
240427,Setbp1
22668,Sf1
70616,Sf4
54650,Sfmbt1
20375,Sfpi1
71514,Sfpq
110809,Sfrs1
234373,Sfrs14
53609,Sfrs16
20382,Sfrs2
20383,Sfrs3
20384,Sfrs5
67996,Sfrs6
231769,Sfrs8
108014,Sfrs9
20429,Shox2
268281,Shprh
20464,Sim1
20465,Sim2
20466,Sin3a
20467,Sin3b
93759,Sirt1
